Time;Temperatura Bruto;Vaz�o Biogas;PH Acidificado;BRUTO
01/12/2024 00:00;33.9 °C;288 m3/h;6.44;6.16
01/12/2024 00:15;34.1 °C;279 m3/h;6.69;6.65
01/12/2024 00:30;34.9 °C;271 m3/h;6.78;6.98
01/12/2024 00:45;36.3 °C;254 m3/h;6.73;7.05
01/12/2024 01:00;37.0 °C;230 m3/h;6.74;6.89
01/12/2024 01:15;36.8 °C;240 m3/h;6.70;6.82
01/12/2024 01:30;35.7 °C;228 m3/h;6.92;6.77
01/12/2024 01:45;35.3 °C;252 m3/h;6.69;7.10
01/12/2024 02:00;35.3 °C;217 m3/h;6.74;7.38
01/12/2024 02:15;37.2 °C;216 m3/h;6.72;8.09
01/12/2024 02:30;37.4 °C;234 m3/h;6.74;9.58
01/12/2024 02:45;36.8 °C;260 m3/h;6.71;9.77
01/12/2024 03:00;36.6 °C;241 m3/h;6.74;9.82
01/12/2024 03:15;37.1 °C;255 m3/h;6.73;9.72
01/12/2024 03:30;36.4 °C;267 m3/h;6.76;9.50
01/12/2024 03:45;35.6 °C;242 m3/h;6.78;9.21
01/12/2024 04:00;35.2 °C;238 m3/h;6.91;9.06
01/12/2024 04:15;34.7 °C;253 m3/h;6.73;8.94
01/12/2024 04:30;33.9 °C;262 m3/h;6.72;10.2
01/12/2024 04:45;33.4 °C;253 m3/h;6.71;10.5
01/12/2024 05:00;33.1 °C;249 m3/h;6.74;10.5
01/12/2024 05:15;33.3 °C;262 m3/h;6.73;10.4
01/12/2024 05:30;33.9 °C;268 m3/h;6.72;10.2
01/12/2024 05:45;34.7 °C;261 m3/h;6.72;10.1
01/12/2024 06:00;35.1 °C;263 m3/h;6.88;9.91
01/12/2024 06:15;35.3 °C;248 m3/h;6.73;9.73
01/12/2024 06:30;36.7 °C;230 m3/h;6.73;9.76
01/12/2024 06:45;35.5 °C;211 m3/h;6.77;9.64
01/12/2024 07:00;34.3 °C;192 m3/h;6.76;9.50
01/12/2024 07:15;33.9 °C;172 m3/h;6.75;8.69
01/12/2024 07:30;34.0 °C;155 m3/h;6.75;9.03
01/12/2024 07:45;34.7 °C;162 m3/h;6.74;9.11
01/12/2024 08:00;34.8 °C;214 m3/h;6.74;8.39
01/12/2024 08:15;33.9 °C;240 m3/h;6.73;8.52
01/12/2024 08:30;34.0 °C;260 m3/h;6.73;8.55
01/12/2024 08:45;32.3 °C;253 m3/h;6.73;8.30
01/12/2024 09:00;29.0 °C;193 m3/h;6.73;8.10
01/12/2024 09:15;28.4 °C;250 m3/h;6.73;7.75
01/12/2024 09:30;28.7 °C;240 m3/h;6.71;7.38
01/12/2024 09:45;29.5 °C;247 m3/h;6.71;7.11
01/12/2024 10:00;31.0 °C;247 m3/h;6.72;6.71
01/12/2024 10:15;31.4 °C;261 m3/h;6.72;6.30
01/12/2024 10:30;31.9 °C;224 m3/h;6.71;6.00
01/12/2024 10:45;32.0 °C;263 m3/h;6.71;5.12
01/12/2024 11:00;32.2 °C;200 m3/h;6.71;5.15
01/12/2024 11:15;32.7 °C;246 m3/h;6.71;5.52
01/12/2024 11:30;34.5 °C;257 m3/h;6.71;6.09
01/12/2024 11:45;36.4 °C;260 m3/h;6.71;5.96
01/12/2024 12:00;38.1 °C;254 m3/h;6.87;6.01
01/12/2024 12:15;39.1 °C;227 m3/h;6.74;6.27
01/12/2024 12:30;38.0 °C;227 m3/h;6.75;6.27
01/12/2024 12:45;36.6 °C;235 m3/h;6.72;5.78
01/12/2024 13:00;36.1 °C;250 m3/h;6.71;5.96
01/12/2024 13:15;36.2 °C;230 m3/h;6.73;6.05
01/12/2024 13:30;35.8 °C;219 m3/h;6.72;6.39
01/12/2024 13:45;35.6 °C;208 m3/h;6.71;6.45
01/12/2024 14:00;35.4 °C;228 m3/h;6.71;6.38
01/12/2024 14:15;36.0 °C;221 m3/h;6.71;6.12
01/12/2024 14:30;36.9 °C;227 m3/h;6.69;5.98
01/12/2024 14:45;36.4 °C;203 m3/h;6.91;6.01
01/12/2024 15:00;36.6 °C;213 m3/h;6.74;6.01
