Time;BRUTO
01/12/2024 00:00;6.16
01/12/2024 00:15;6.65
01/12/2024 00:30;6.98
01/12/2024 00:45;7.05
01/12/2024 01:00;6.89
01/12/2024 01:15;6.82
01/12/2024 01:30;6.77
01/12/2024 01:45;7.10
01/12/2024 02:00;7.38
01/12/2024 02:15;8.09
01/12/2024 02:30;9.58
01/12/2024 02:45;9.77
01/12/2024 03:00;9.82
01/12/2024 03:15;9.72
01/12/2024 03:30;9.50
01/12/2024 03:45;9.21
01/12/2024 04:00;9.06
01/12/2024 04:15;8.94
01/12/2024 04:30;10.2
01/12/2024 04:45;10.5
01/12/2024 05:00;10.5
01/12/2024 05:15;10.4
01/12/2024 05:30;10.2
01/12/2024 05:45;10.1
01/12/2024 06:00;9.91
01/12/2024 06:15;9.73
01/12/2024 06:30;9.76
01/12/2024 06:45;9.64
01/12/2024 07:00;9.50
01/12/2024 07:15;8.69
01/12/2024 07:30;9.03
01/12/2024 07:45;9.11
01/12/2024 08:00;8.39
01/12/2024 08:15;8.52
01/12/2024 08:30;8.55
01/12/2024 08:45;8.30
01/12/2024 09:00;8.10
01/12/2024 09:15;7.75
01/12/2024 09:30;7.38
01/12/2024 09:45;7.11
01/12/2024 10:00;6.71
01/12/2024 10:15;6.30
01/12/2024 10:30;6.00
01/12/2024 10:45;5.12
01/12/2024 11:00;5.15
01/12/2024 11:15;5.52
01/12/2024 11:30;6.09
01/12/2024 11:45;5.96
01/12/2024 12:00;6.01
01/12/2024 12:15;6.27
01/12/2024 12:30;6.27
01/12/2024 12:45;5.78
01/12/2024 13:00;5.96
01/12/2024 13:15;6.05
01/12/2024 13:30;6.39
01/12/2024 13:45;6.45
01/12/2024 14:00;6.38
01/12/2024 14:15;6.12
01/12/2024 14:30;5.98
01/12/2024 14:45;6.01
01/12/2024 15:00;6.01
01/12/2024 15:15;5.23
01/12/2024 15:30;4.74
01/12/2024 15:45;6.19
01/12/2024 16:00;6.03
01/12/2024 16:15;7.74
01/12/2024 16:30;8.42
01/12/2024 16:45;7.95
01/12/2024 17:00;7.46
01/12/2024 17:15;7.41
01/12/2024 17:30;7.44
01/12/2024 17:45;8.01
01/12/2024 18:00;8.82
01/12/2024 18:15;8.80
01/12/2024 18:30;8.44
01/12/2024 18:45;8.79
01/12/2024 19:00;8.80
01/12/2024 19:15;8.82
01/12/2024 19:30;8.76
01/12/2024 19:45;8.68
01/12/2024 20:00;8.66
01/12/2024 20:15;8.61
01/12/2024 20:30;8.54
01/12/2024 20:45;8.28
01/12/2024 21:00;8.40
01/12/2024 21:15;8.32
01/12/2024 21:30;8.22
01/12/2024 21:45;8.14
01/12/2024 22:00;8.03
01/12/2024 22:15;7.70
01/12/2024 22:30;7.86
01/12/2024 22:45;7.76
01/12/2024 23:00;7.66
01/12/2024 23:15;7.56
01/12/2024 23:30;7.46
01/12/2024 23:45;7.39
02/12/2024 00:00;6.26
02/12/2024 00:15;6.75
02/12/2024 00:30;7.20
02/12/2024 00:45;7.15
02/12/2024 01:00;7.09
02/12/2024 01:15;6.90
02/12/2024 01:30;6.85
02/12/2024 01:45;6.56
02/12/2024 02:00;6.55
02/12/2024 02:15;6.55
02/12/2024 02:30;6.26
02/12/2024 02:45;6.27
02/12/2024 03:00;6.49
