Time;PH
01/12/2024 00:00;6.44
01/12/2024 00:15;6.69
01/12/2024 00:30;6.78
01/12/2024 00:45;6.73
01/12/2024 01:00;6.74
01/12/2024 01:15;6.70
01/12/2024 01:30;6.92
01/12/2024 01:45;6.69
01/12/2024 02:00;6.74
01/12/2024 02:15;6.72
01/12/2024 02:30;6.74
01/12/2024 02:45;6.71
01/12/2024 03:00;6.74
01/12/2024 03:15;6.73
01/12/2024 03:30;6.76
01/12/2024 03:45;6.78
01/12/2024 04:00;6.91
01/12/2024 04:15;6.73
01/12/2024 04:30;6.72
01/12/2024 04:45;6.71
01/12/2024 05:00;6.74
01/12/2024 05:15;6.73
01/12/2024 05:30;6.72
01/12/2024 05:45;6.72
01/12/2024 06:00;6.88
01/12/2024 06:15;6.73
01/12/2024 06:30;6.73
01/12/2024 06:45;6.77
01/12/2024 07:00;6.76
01/12/2024 07:15;6.75
01/12/2024 07:30;6.75
01/12/2024 07:45;6.74
01/12/2024 08:00;6.74
01/12/2024 08:15;6.73
01/12/2024 08:30;6.73
01/12/2024 08:45;6.73
01/12/2024 09:00;6.73
01/12/2024 09:15;6.73
01/12/2024 09:30;6.71
01/12/2024 09:45;6.71
01/12/2024 10:00;6.72
01/12/2024 10:15;6.72
01/12/2024 10:30;6.71
01/12/2024 10:45;6.71
01/12/2024 11:00;6.71
01/12/2024 11:15;6.71
01/12/2024 11:30;6.71
01/12/2024 11:45;6.71
01/12/2024 12:00;6.87
01/12/2024 12:15;6.74
01/12/2024 12:30;6.75
01/12/2024 12:45;6.72
01/12/2024 13:00;6.71
01/12/2024 13:15;6.73
01/12/2024 13:30;6.72
01/12/2024 13:45;6.71
01/12/2024 14:00;6.71
01/12/2024 14:15;6.71
01/12/2024 14:30;6.69
01/12/2024 14:45;6.91
01/12/2024 15:00;6.74
01/12/2024 15:15;6.77
01/12/2024 15:30;6.74
01/12/2024 15:45;6.71
01/12/2024 16:00;6.68
01/12/2024 16:15;6.74
01/12/2024 16:30;6.74
01/12/2024 16:45;6.70
01/12/2024 17:00;6.71
01/12/2024 17:15;6.75
01/12/2024 17:30;6.71
01/12/2024 17:45;6.73
01/12/2024 18:00;6.70
01/12/2024 18:15;6.73
01/12/2024 18:30;6.55
01/12/2024 18:45;6.78
01/12/2024 19:00;6.75
01/12/2024 19:15;6.70
01/12/2024 19:30;6.71
01/12/2024 19:45;6.72
01/12/2024 20:00;6.71
01/12/2024 20:15;6.71
01/12/2024 20:30;6.71
01/12/2024 20:45;6.72
01/12/2024 21:00;6.72
01/12/2024 21:15;6.71
01/12/2024 21:30;6.88
01/12/2024 21:45;6.73
01/12/2024 22:00;6.71
01/12/2024 22:15;6.72
01/12/2024 22:30;6.71
01/12/2024 22:45;6.72
01/12/2024 23:00;6.72
01/12/2024 23:15;6.70
01/12/2024 23:30;6.71
01/12/2024 23:45;6.73
02/12/2024 00:00;6.71
02/12/2024 00:15;6.73
02/12/2024 00:30;6.71
02/12/2024 00:45;6.70
02/12/2024 01:00;6.87
02/12/2024 01:15;6.72
02/12/2024 01:30;6.71
02/12/2024 01:45;6.71
02/12/2024 02:00;6.87
02/12/2024 02:15;6.73
02/12/2024 02:30;6.71
02/12/2024 02:45;6.72
02/12/2024 03:00;6.71
02/12/2024 03:15;6.71
02/12/2024 03:30;6.71
02/12/2024 03:45;6.72
02/12/2024 04:00;6.71
02/12/2024 04:15;6.74
02/12/2024 04:30;6.73
02/12/2024 04:45;6.71
02/12/2024 05:00;6.86
02/12/2024 05:15;6.74
02/12/2024 05:30;6.89
02/12/2024 05:45;6.73
02/12/2024 06:00;6.73
02/12/2024 06:15;6.72
02/12/2024 06:30;6.72
02/12/2024 06:45;6.73
02/12/2024 07:00;6.73
02/12/2024 07:15;11.8
02/12/2024 07:30;7.31
02/12/2024 07:45;6.35
02/12/2024 08:00;6.72
02/12/2024 08:15;4.54
02/12/2024 08:30;4.61
02/12/2024 08:45;4.36
