Time;Temperatura
01/12/2024 00:00;33.9 °C
01/12/2024 00:15;34.1 °C
01/12/2024 00:30;34.9 °C
01/12/2024 00:45;36.3 °C
01/12/2024 01:00;37.0 °C
01/12/2024 01:15;36.8 °C
01/12/2024 01:30;35.7 °C
01/12/2024 01:45;35.3 °C
01/12/2024 02:00;35.3 °C
01/12/2024 02:15;37.2 °C
01/12/2024 02:30;37.4 °C
01/12/2024 02:45;36.8 °C
01/12/2024 03:00;36.6 °C
01/12/2024 03:15;37.1 °C
01/12/2024 03:30;36.4 °C
01/12/2024 03:45;35.6 °C
01/12/2024 04:00;35.2 °C
01/12/2024 04:15;34.7 °C
01/12/2024 04:30;33.9 °C
01/12/2024 04:45;33.4 °C
01/12/2024 05:00;33.1 °C
01/12/2024 05:15;33.3 °C
01/12/2024 05:30;33.9 °C
01/12/2024 05:45;34.7 °C
01/12/2024 06:00;35.1 °C
01/12/2024 06:15;35.3 °C
01/12/2024 06:30;36.7 °C
01/12/2024 06:45;35.5 °C
01/12/2024 07:00;34.3 °C
01/12/2024 07:15;33.9 °C
01/12/2024 07:30;34.0 °C
01/12/2024 07:45;34.7 °C
01/12/2024 08:00;34.8 °C
01/12/2024 08:15;33.9 °C
01/12/2024 08:30;34.0 °C
01/12/2024 08:45;32.3 °C
01/12/2024 09:00;29.0 °C
01/12/2024 09:15;28.4 °C
01/12/2024 09:30;28.7 °C
01/12/2024 09:45;29.5 °C
01/12/2024 10:00;31.0 °C
01/12/2024 10:15;31.4 °C
01/12/2024 10:30;31.9 °C
01/12/2024 10:45;32.0 °C
01/12/2024 11:00;32.2 °C
01/12/2024 11:15;32.7 °C
01/12/2024 11:30;34.5 °C
01/12/2024 11:45;36.4 °C
01/12/2024 12:00;38.1 °C
01/12/2024 12:15;39.1 °C
01/12/2024 12:30;38.0 °C
01/12/2024 12:45;36.6 °C
01/12/2024 13:00;36.1 °C
01/12/2024 13:15;36.2 °C
01/12/2024 13:30;35.8 °C
01/12/2024 13:45;35.6 °C
01/12/2024 14:00;35.4 °C
01/12/2024 14:15;36.0 °C
01/12/2024 14:30;36.9 °C
01/12/2024 14:45;36.4 °C
01/12/2024 15:00;36.6 °C
01/12/2024 15:15;36.7 °C
01/12/2024 15:30;36.4 °C
01/12/2024 15:45;34.7 °C
01/12/2024 16:00;33.2 °C
01/12/2024 16:15;32.5 °C
01/12/2024 16:30;32.1 °C
01/12/2024 16:45;31.8 °C
01/12/2024 17:00;32.3 °C
01/12/2024 17:15;32.5 °C
01/12/2024 17:30;32.3 °C
01/12/2024 17:45;31.7 °C
01/12/2024 18:00;30.9 °C
01/12/2024 18:15;32.0 °C
01/12/2024 18:30;34.3 °C
01/12/2024 18:45;33.6 °C
01/12/2024 19:00;32.8 °C
01/12/2024 19:15;32.2 °C
01/12/2024 19:30;31.8 °C
01/12/2024 19:45;32.3 °C
01/12/2024 20:00;33.1 °C
01/12/2024 20:15;34.1 °C
01/12/2024 20:30;35.8 °C
