Time;Vazao
01/12/2024 00:00;288
01/12/2024 00:15;279
01/12/2024 00:30;271
01/12/2024 00:45;254
01/12/2024 01:00;230
01/12/2024 01:15;240
01/12/2024 01:30;228
01/12/2024 01:45;252
01/12/2024 02:00;217
01/12/2024 02:15;216
01/12/2024 02:30;234
01/12/2024 02:45;260
01/12/2024 03:00;241
01/12/2024 03:15;255
01/12/2024 03:30;267
01/12/2024 03:45;242
01/12/2024 04:00;238
01/12/2024 04:15;253
01/12/2024 04:30;262
01/12/2024 04:45;253
01/12/2024 05:00;249
01/12/2024 05:15;262
01/12/2024 05:30;268
01/12/2024 05:45;261
01/12/2024 06:00;263
01/12/2024 06:15;248
01/12/2024 06:30;230
01/12/2024 06:45;211
01/12/2024 07:00;192
01/12/2024 07:15;172
01/12/2024 07:30;155
01/12/2024 07:45;162
01/12/2024 08:00;214
01/12/2024 08:15;240
01/12/2024 08:30;260
01/12/2024 08:45;253
01/12/2024 09:00;193
01/12/2024 09:15;250
01/12/2024 09:30;240
01/12/2024 09:45;247
01/12/2024 10:00;247
01/12/2024 10:15;261
01/12/2024 10:30;224
01/12/2024 10:45;263
01/12/2024 11:00;200
01/12/2024 11:15;246
01/12/2024 11:30;257
01/12/2024 11:45;260
01/12/2024 12:00;254
01/12/2024 12:15;227
01/12/2024 12:30;227
01/12/2024 12:45;235
01/12/2024 13:00;250
01/12/2024 13:15;230
01/12/2024 13:30;219
01/12/2024 13:45;208
01/12/2024 14:00;228
01/12/2024 14:15;221
01/12/2024 14:30;227
01/12/2024 14:45;203
01/12/2024 15:00;213
01/12/2024 15:15;223
01/12/2024 15:30;235
01/12/2024 15:45;213
01/12/2024 16:00;219
01/12/2024 16:15;213
01/12/2024 16:30;209
01/12/2024 16:45;245
01/12/2024 17:00;228
01/12/2024 17:15;232
01/12/2024 17:30;221
01/12/2024 17:45;227
01/12/2024 18:00;227
01/12/2024 18:15;224
01/12/2024 18:30;243
01/12/2024 18:45;235
01/12/2024 19:00;263
01/12/2024 19:15;273
01/12/2024 19:30;310
01/12/2024 19:45;312
01/12/2024 20:00;316
01/12/2024 20:15;322
01/12/2024 20:30;333
01/12/2024 20:45;323
01/12/2024 21:00;330
01/12/2024 21:15;330
01/12/2024 21:30;351
01/12/2024 21:45;335
01/12/2024 22:00;343
01/12/2024 22:15;355
01/12/2024 22:30;351
01/12/2024 22:45;334
01/12/2024 23:00;333
01/12/2024 23:15;320
01/12/2024 23:30;319
01/12/2024 23:45;328
02/12/2024 00:00;338
02/12/2024 00:15;338
02/12/2024 00:30;335
02/12/2024 00:45;341
02/12/2024 01:00;345
02/12/2024 01:15;349
02/12/2024 01:30;348
02/12/2024 01:45;345
02/12/2024 02:00;334
02/12/2024 02:15;326
02/12/2024 02:30;320
02/12/2024 02:45;323
02/12/2024 03:00;328
02/12/2024 03:15;330
02/12/2024 03:30;329
02/12/2024 03:45;339
02/12/2024 04:00;346
02/12/2024 04:15;336
02/12/2024 04:30;345
02/12/2024 04:45;342
02/12/2024 05:00;345
02/12/2024 05:15;338
02/12/2024 05:30;341
02/12/2024 05:45;322
02/12/2024 06:00;327
02/12/2024 06:15;298
02/12/2024 06:30;293
02/12/2024 06:45;296
02/12/2024 07:00;287
02/12/2024 07:15;280
02/12/2024 07:30;271
02/12/2024 07:45;256
02/12/2024 08:00;258
02/12/2024 08:15;254
02/12/2024 08:30;254
02/12/2024 08:45;267
02/12/2024 09:00;260
02/12/2024 09:15;281
02/12/2024 09:30;254
02/12/2024 09:45;232
02/12/2024 10:00;235
02/12/2024 10:15;253
02/12/2024 10:30;274
02/12/2024 10:45;264
02/12/2024 11:00;275
02/12/2024 11:15;279
02/12/2024 11:30;295
02/12/2024 11:45;236
02/12/2024 12:00;280
02/12/2024 12:15;262
02/12/2024 12:30;229
02/12/2024 12:45;219
02/12/2024 13:00;242
02/12/2024 13:15;272
02/12/2024 13:30;280
02/12/2024 13:45;265
02/12/2024 14:00;237
02/12/2024 14:15;257
02/12/2024 14:30;258
02/12/2024 14:45;265
02/12/2024 15:00;259
02/12/2024 15:15;247
02/12/2024 15:30;237
02/12/2024 15:45;238
02/12/2024 16:00;215
02/12/2024 16:15;206
02/12/2024 16:30;181
02/12/2024 16:45;156
02/12/2024 17:00;141
02/12/2024 17:15;166
02/12/2024 17:30;156
02/12/2024 17:45;157
02/12/2024 18:00;163
02/12/2024 18:15;157
02/12/2024 18:30;167
02/12/2024 18:45;189
02/12/2024 19:00;175
02/12/2024 19:15;203
02/12/2024 19:30;206
02/12/2024 19:45;237
02/12/2024 20:00;212
02/12/2024 20:15;241
02/12/2024 20:30;242
02/12/2024 20:45;248
02/12/2024 21:00;244
02/12/2024 21:15;223
02/12/2024 21:30;236
02/12/2024 21:45;214
02/12/2024 22:00;221
02/12/2024 22:15;240
02/12/2024 22:30;254
02/12/2024 22:45;261
02/12/2024 23:00;244
02/12/2024 23:15;241
02/12/2024 23:30;243
02/12/2024 23:45;234
03/12/2024 00:00;253
03/12/2024 00:15;261
03/12/2024 00:30;253
03/12/2024 00:45;247
03/12/2024 01:00;251
03/12/2024 01:15;260
03/12/2024 01:30;272
03/12/2024 01:45;287
03/12/2024 02:00;252
03/12/2024 02:15;260
03/12/2024 02:30;267
03/12/2024 02:45;271
03/12/2024 03:00;280
03/12/2024 03:15;249
03/12/2024 03:30;249
03/12/2024 03:45;250
03/12/2024 04:00;243
03/12/2024 04:15;235
03/12/2024 04:30;230
03/12/2024 04:45;226
03/12/2024 05:00;231
03/12/2024 05:15;237
03/12/2024 05:30;230
03/12/2024 05:45;224
03/12/2024 06:00;204
03/12/2024 06:15;258
03/12/2024 06:30;288
03/12/2024 06:45;297
03/12/2024 07:00;291
03/12/2024 07:15;291
03/12/2024 07:30;313
03/12/2024 07:45;273
03/12/2024 08:00;331
03/12/2024 08:15;312
03/12/2024 08:30;315
03/12/2024 08:45;328
03/12/2024 09:00;327
03/12/2024 09:15;300
03/12/2024 09:30;291
03/12/2024 09:45;308
03/12/2024 10:00;328
03/12/2024 10:15;327
03/12/2024 10:30;344
03/12/2024 10:45;311
03/12/2024 11:00;335
03/12/2024 11:15;339
03/12/2024 11:30;353
03/12/2024 11:45;357
03/12/2024 12:00;359
03/12/2024 12:15;359
03/12/2024 12:30;359
03/12/2024 12:45;354
03/12/2024 13:00;253
03/12/2024 13:15;229
03/12/2024 13:30;138
03/12/2024 13:45;205
03/12/2024 14:00;198
03/12/2024 14:15;181
03/12/2024 14:30;221
03/12/2024 14:45;300
03/12/2024 15:00;330
03/12/2024 15:15;308
03/12/2024 15:30;290
03/12/2024 15:45;284
03/12/2024 16:00;292
03/12/2024 16:15;301
03/12/2024 16:30;294
03/12/2024 16:45;282
03/12/2024 17:00;291
03/12/2024 17:15;264
03/12/2024 17:30;242
03/12/2024 17:45;248
03/12/2024 18:00;260
03/12/2024 18:15;284
03/12/2024 18:30;277
03/12/2024 18:45;269
03/12/2024 19:00;281
03/12/2024 19:15;303
03/12/2024 19:30;313
03/12/2024 19:45;315
03/12/2024 20:00;309
03/12/2024 20:15;292
03/12/2024 20:30;309
03/12/2024 20:45;283
03/12/2024 21:00;281
03/12/2024 21:15;282
03/12/2024 21:30;285
03/12/2024 21:45;248
03/12/2024 22:00;251
03/12/2024 22:15;258
03/12/2024 22:30;262
03/12/2024 22:45;263
03/12/2024 23:00;264
03/12/2024 23:15;270
03/12/2024 23:30;278
03/12/2024 23:45;287
04/12/2024 00:00;298
04/12/2024 00:15;297
04/12/2024 00:30;279
04/12/2024 00:45;285
04/12/2024 01:00;288
04/12/2024 01:15;291
04/12/2024 01:30;296
04/12/2024 01:45;303
04/12/2024 02:00;309
04/12/2024 02:15;314
04/12/2024 02:30;317
04/12/2024 02:45;318
04/12/2024 03:00;319
04/12/2024 03:15;324
04/12/2024 03:30;286
04/12/2024 03:45;292
04/12/2024 04:00;291
04/12/2024 04:15;294
04/12/2024 04:30;293
04/12/2024 04:45;295
04/12/2024 05:00;299
04/12/2024 05:15;265
04/12/2024 05:30;257
04/12/2024 05:45;242
04/12/2024 06:00;237
04/12/2024 06:15;222
04/12/2024 06:30;283
04/12/2024 06:45;254
04/12/2024 07:00;253
04/12/2024 07:15;286
04/12/2024 07:30;271
04/12/2024 07:45;297
04/12/2024 08:00;296
04/12/2024 08:15;275
04/12/2024 08:30;290
04/12/2024 08:45;294
04/12/2024 09:00;299
04/12/2024 09:15;278
04/12/2024 09:30;248
04/12/2024 09:45;292
04/12/2024 10:00;317
04/12/2024 10:15;326
04/12/2024 10:30;307
04/12/2024 10:45;321
04/12/2024 11:00;313
04/12/2024 11:15;312
04/12/2024 11:30;322
04/12/2024 11:45;303
04/12/2024 12:00;321
04/12/2024 12:15;313
04/12/2024 12:30;307
04/12/2024 12:45;298
04/12/2024 13:00;308
04/12/2024 13:15;300
04/12/2024 13:30;306
04/12/2024 13:45;289
04/12/2024 14:00;327
04/12/2024 14:15;292
04/12/2024 14:30;296
04/12/2024 14:45;293
